optimizer_step,upstream_loss,pr_loss,signed_relative_difference_percent
1,10.675343206646634,10.675323309019246,-0.00018638864345956762
2,10.573832493968618,10.573832493968618,0.0
3,10.529069017042127,10.52972497671451,0.006229599289944562
4,10.4498424509949,10.449758565992948,-0.0008027393938812882
5,10.253138187681106,10.253292924038197,0.0015091381689515374
6,10.28652255111625,10.286833625093797,0.0030240012513545154
7,9.825281614797039,9.826599048449474,0.01340681191874783
8,9.137809180481222,9.13797128889632,0.0017740088031974017
9,9.031759565945947,9.031745563780852,-0.0001550325270808307
10,9.182043803811519,9.182357125467567,0.0034122137896248545
11,8.76218706669349,8.761225294803086,-0.010976390746781738
12,8.621616806527275,8.622042508957168,0.004937373359635552
13,8.337000062835957,8.338741463904798,0.020883260098410496
14,8.3494489428095,8.349657923758866,0.0025028683962058274
15,9.286004554696142,9.286092178816272,0.0009436059694766428
16,8.19084548028047,8.191525973298399,0.008307280232596552
17,8.527523497103587,8.52752624003904,3.216566416677636e-05
18,7.729428655244996,7.729455863554244,0.00035200808088686335
19,7.8893628649306065,7.889778372200377,0.005266399766494134
20,7.524134970300582,7.524115062324127,-0.0002645882421498787
21,7.709949999647526,7.710293359410934,0.0044532645828486645
22,7.872164327787322,7.872065022380939,-0.001261475272217517
23,8.968759443122716,8.96865992123546,-0.0011096505362513482
24,8.12315986880937,8.123384902012367,0.0027701900834530896
25,9.43092262314529,9.430860203438238,-0.0006618621480331791
26,8.569748253966827,8.569289724108671,-0.0053505639205141805
27,8.155593523615655,8.155512089450578,-0.0009985069123564707
28,6.610895405083514,6.610177203383672,-0.010863909589152563
29,8.029652380545167,8.02966595995857,0.00016911554564609976
30,8.123823927129273,8.123995789587067,0.002115491714240876
31,7.845923658505571,7.846213473250514,0.003693689267199955
32,8.007473661250009,8.007270562100619,-0.002536369871222029
33,7.249766326159534,7.249840402763018,0.001021768747569924
34,8.310900617040852,8.311018372379063,0.0014168581145526209
35,7.940827788441026,7.940667813988249,-0.002014581565539316
36,7.49004061504243,7.489608969791674,-0.005762922698828921
37,6.012565040891127,6.015719805608556,0.05244201557537855
38,8.210992629329443,8.213584846913573,0.031560124262967545
39,7.956418181297485,7.956578446551343,0.0020142483975334148
40,7.953283372015483,7.952761477920212,-0.006561995478596096
41,8.673698729849042,8.673370494846544,-0.0037842564368480935
42,7.486317337448427,7.484707213794271,-0.021507552800379602
43,7.949568416269046,7.949386026878552,-0.0022943307226652426
44,7.820192196396936,7.820195682611701,4.4579635948360766e-05
45,7.395531011024332,7.39545582208142,-0.0010166807873528722
46,8.318450198727506,8.319392502322373,0.011326591389981353
47,8.275831600012564,8.275394766511557,-0.0052784242372303026
48,7.190599958688226,7.190937489099806,0.004693830423240574
49,8.027652744401893,8.029234997290617,0.01970614746309046
50,7.567557312070168,7.566832986023727,-0.009571464299122891
